title,mode,level,id,thumbnail
Achluoias,Single,22,QVR0WksydTFYcmhsZFFDdWpwaGRuZz09,https://phoenix.piugame.com/data/song_img/08b06c0759e9193b9cb7cfb9ee2a67a6.png?v=20241031113041
Allegro Con Fuoco,Single,22,OUp5Y2lMTmhldWFsSFN3andNRzRidz09,https://phoenix.piugame.com/data/song_img/ff186c5488121bb28e0e51eef7b6b2f2.png?v=20241031113041
Appassionata,Single,22,Mk9icmNKTVREVkd0ZWZoRFBiOTN3UT09,https://phoenix.piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png?v=20241031113041
Aragami,Single,22,bWFnNVZHMDRQbW9LcDdXT2NPeTlYZz09,https://phoenix.piugame.com/data/song_img/268d0e5526dc475ccf8ca90a60fcae68.png?v=20241031113041
KUGUTSU,Single,23,OFRUdnhCVU1IdUx4RFBzNTZuTkZGdz09,https://phoenix.piugame.com/data/song_img/6b61fae3e35139975deb1199f1ad550a.png?v=20241031113041
MEGAHEARTZ,Single,23,NjJPbUdPNXJSR0VFQTc5NU1jN04vZz09,https://phoenix.piugame.com/data/song_img/557ee99561f8a1522c7c87f2a4a11a4e.png?v=20241031113041
Mopemope,Single,23,dWhRNHFjQjZJalFQampFZEtJbTF6UT09,https://phoenix.piugame.com/data/song_img/f720e52b1bb6625bd869df634102c20b.png?v=20241031113041
Nyarlathotep,Single,23,dlhjek5BVHR3dGdseXQycVRUM0F3QT09,https://phoenix.piugame.com/data/song_img/3f02cf4ddbf100d3656ce0d334f63e6f.png?v=20241031113041
Odin,Single,23,Z2JMajB2S1ljb1l3WTlORU9HMHZOZz09,https://phoenix.piugame.com/data/song_img/14da0faf29ae484f7dc4194f41436a1e.png?v=20241031113041
Paradoxx,Single,23,K0dTZDF4YWYwdkJEUjVPdE1MbmRwUT09,https://phoenix.piugame.com/data/song_img/2da8be03841200479a4c23e8b60aeb70.png?v=20241031113041
Prime Time,Single,23,Tlh4UHQrc3drWmxUajNmODdOZWZ5UT09,https://phoenix.piugame.com/data/song_img/6a9b52dad811828ecba1f4f5d3e6abfe.png?v=20241031113041
PUPA,Single,23,SUJZTUdTMUFpYnpkOVlvc2dQcGo2Zz09,https://phoenix.piugame.com/data/song_img/adf1054211294efcbfb92ac97a37ec75.png?v=20241031113041
Re：End of a Dream,Single,23,TWhvUzRSNFJUR3dsRlN0clBlWE42Zz09,https://phoenix.piugame.com/data/song_img/cc5d57d60b17c46dee91b575faecd855.png?v=20241031113041
Sorceress Elise,Single,23,aXFXZ0VMMjEwaDB5L1RHRFVyQXRFdz09,https://phoenix.piugame.com/data/song_img/52ba0f8236f1cc1be8533771c479b36a.png?v=20241031113041
Telling Fortune Flower,Single,23,dHhDbzBlTmdxZk5JMlpFR1dFUFhUZz09,https://phoenix.piugame.com/data/song_img/212d24f35ebb3de53f5deb6cd6625d31.png?v=20241031113041
The Quick Brown Fox Jumps Over The Lazy Dog,Single,23,L0REOWFFZFVWQTNUbDQvSjVEbHQ1Zz09,https://phoenix.piugame.com/data/song_img/13ee583d7eb125353c9594c54e8af8ee.png?v=20241031113041
Arirang,Single,22,ZDlTbnkxUW5yN2tEOG1LYjRFWG0yUT09,https://phoenix.piugame.com/data/song_img/8d55fa3101649d5beb9ee7921b2ea46c.png?v=20241031113041
Athena's Shield,Single,22,YmV5VFhWNlNHTDVEL0w3M1B3clZOZz09,https://phoenix.piugame.com/data/song_img/e9d9f977024488f5bb31c9e203621e84.png?v=20241031113041
Avalanche,Single,22,bHhDMFQ1Vyt1anM3dWVqQjQ2MGRJdz09,https://phoenix.piugame.com/data/song_img/c55b5035aa594ffa59dd1a99aef918c8.png?v=20241031113041
Awakening,Single,22,d0pOSy81QXhSUTFVS0o4dGozOEVwUT09,https://phoenix.piugame.com/data/song_img/4fd85c9ac5726a4dda88c2a75d1f548f.png?v=20241031113041
